,Show ID,Show Name,Genre,TV-Rating,Description,Available on Hulu,Available on Netflix
31,80189619,A Taiwanese Tale of Two Cities,"International TV Shows, TV Dramas",TV-MA,"A Taipei doctor and a San Francisco engineer swap homes in a daring pact, embarking on journeys filled with trials, secrets and unexpected encounters.",No,Yes
32,80188935,A Thousand Goodnights,"International TV Shows, TV Dramas",TV-14,"To carry out her dad's wish and discover her roots, Dai Tian-qing embarks on a journey around Taiwan and finds love and redemption on the way.",No,Yes
33,80097771,A Very Secret Service,"International TV Shows, TV Comedies",TV-14,"At the height of the Cold War in 1960, André Merlaux joins the French Secret Service and contends with enemies both foreign and bureaucratic.",No,Yes
34,81193616,A Year In Space,"Docuseries, International TV Shows, Science & Nature TV",TV-PG,Two astronauts attempt to brave a life in Earth's orbit on a record-setting mission to see if humans have the endurance to survive a flight to Mars.,No,Yes
35,70281022,A Young Doctor's Notebook and Other Stories,"British TV Shows, TV Comedies, TV Dramas",TV-MA,"Set during the Russian Revolution, this comic miniseries is based on a doctor's memories of his early career working in an out-of-the-way village.",No,Yes
36,80036412,A.D. Kingdom and Empire,TV Dramas,TV-14,"In the wake of Jesus Christ's crucifixion, his apostles dedicate themselves to spreading his message, risking their freedom and their lives.",No,Yes
37,80161848,A.I.C.O.,"Anime Series, International TV Shows",TV-14,Everything Aiko knew was a lie. Now she's joining a team of Divers to reach the place where the Burst began to stop it for good and save her family.,No,Yes
38,80237329,AJ and the Queen,"TV Comedies, TV Dramas",TV-14,"While traveling across the country in a run-down RV, drag queen Ruby Red discovers an unlikely sidekick in AJ: a tough-talking 10-year-old stowaway.",No,Yes
39,80043576,AJIN: Demi-Human,"Anime Series, International TV Shows",TV-MA,A teenager discovers that he is an Ajin and flees before the authorities experiment on him. Other Ajin plan to fight back and he must choose a side.,No,Yes
40,80218962,AMO,"International TV Shows, TV Dramas",TV-MA,"Despite the Philippine government's crackdown on narcotics, high schooler Joseph expands his drug running while his cop uncle profits from corruption.",No,Yes
41,81219073,ARASHI's Diary -Voyage-,"Docuseries, International TV Shows",TV-PG,"Twenty years after their debut, join the beloved members of Arashi on a new journey as they showcase their lives, talents and gifts to the world.",No,Yes
42,80176929,Abnormal Summit,"International TV Shows, Korean TV Shows, Stand-Up Comedy & Talk Shows",TV-PG,"Led by a trio of Korean celebs, a multinational panel of men engage in – usually – lighthearted debates on issues that surround Korea and beyond.",No,Yes
43,80057883,Abstract: The Art of Design,Docuseries,TV-14,Step inside the minds of the most innovative designers in a variety of disciplines and learn how design impacts every aspect of life.,No,Yes
44,81087762,Abyss,"Crime TV Shows, International TV Shows, Korean TV Shows",TV-14,"After meeting an untimely demise in separate incidents, Cha Min and Go Se-yeon discover they’ve come back to life in new bodies they don’t recognize.",No,Yes
45,81025800,Accidentally in Love,"International TV Shows, Romantic TV Shows, TV Comedies",TV-14,"Rejecting the demands of her wealthy family, a young woman poses as an ordinary college student and crosses paths with a stoic pop star at school.",No,Yes
46,81082327,Ad Vitam,"Crime TV Shows, International TV Shows, TV Dramas",TV-MA,"In a future where regeneration technology lets humans live indefinitely, a cop and a troubled young woman investigate a strange wave of youth suicides.",No,Yes
